Timestamp,ActiveRequests,EventLoopLag_ms,PoolSize
2026-02-05T18:26:06.310Z,0,73.14,0
2026-02-05T18:26:08.326Z,1,20.58,0
2026-02-05T18:26:08.376Z,1,20.28,0
2026-02-05T18:26:08.427Z,1,20.38,0
2026-02-05T18:26:08.477Z,1,20.62,0
2026-02-05T18:26:08.527Z,1,20.75,0
2026-02-05T18:26:08.578Z,1,20.31,0
2026-02-05T18:26:08.628Z,1,20.59,0
2026-02-05T18:26:08.678Z,1,20.54,0
2026-02-05T18:26:08.729Z,1,19.97,0
2026-02-05T18:26:08.779Z,1,20.90,0
2026-02-05T18:26:08.830Z,1,19.89,0
2026-02-05T18:26:08.880Z,1,20.50,0
2026-02-05T18:26:08.931Z,1,20.00,0
2026-02-05T18:26:08.981Z,1,20.36,0
2026-02-05T18:26:09.031Z,1,20.63,0
2026-02-05T18:26:09.081Z,1,20.26,0
2026-02-05T18:26:09.131Z,1,20.55,0
2026-02-05T18:26:09.182Z,1,20.31,0
2026-02-05T18:26:09.233Z,1,20.16,0
2026-02-05T18:26:09.282Z,1,20.13,0
2026-02-05T18:26:09.332Z,1,19.87,0
2026-02-05T18:26:09.382Z,1,20.32,0
2026-02-05T18:26:09.432Z,1,20.98,0
2026-02-05T18:26:09.483Z,1,20.42,0
2026-02-05T18:26:09.534Z,1,19.87,0
2026-02-05T18:26:09.584Z,1,20.13,0
2026-02-05T18:26:09.635Z,1,20.00,0
2026-02-05T18:26:09.685Z,1,20.36,0
2026-02-05T18:26:09.735Z,1,20.06,0
2026-02-05T18:26:09.786Z,1,20.23,0
2026-02-05T18:26:09.837Z,1,20.02,0
2026-02-05T18:26:09.887Z,1,20.36,0
2026-02-05T18:26:09.937Z,1,20.11,0
2026-02-05T18:26:09.988Z,1,20.42,0
2026-02-05T18:26:10.038Z,1,19.80,0
2026-02-05T18:26:10.088Z,1,19.31,0
2026-02-05T18:26:10.138Z,1,20.71,0
2026-02-05T18:26:10.189Z,1,20.42,0
2026-02-05T18:26:10.240Z,1,20.28,0
2026-02-05T18:26:10.290Z,1,20.36,0
2026-02-05T18:26:12.363Z,1,20.22,0
2026-02-05T18:26:12.413Z,1,20.21,0
2026-02-05T18:26:12.464Z,1,20.12,0
2026-02-05T18:26:12.513Z,1,20.34,0
2026-02-05T18:26:12.564Z,1,20.12,0
2026-02-05T18:26:12.615Z,1,20.32,0
2026-02-05T18:26:12.666Z,1,20.28,0
2026-02-05T18:26:12.716Z,1,20.47,0
2026-02-05T18:26:12.767Z,1,19.89,0
2026-02-05T18:26:12.816Z,1,20.46,0
2026-02-05T18:26:12.867Z,1,20.09,0
2026-02-05T18:26:12.917Z,1,20.36,0
2026-02-05T18:26:12.966Z,1,20.36,0
2026-02-05T18:26:13.016Z,1,20.00,0
2026-02-05T18:26:13.067Z,1,20.29,0
2026-02-05T18:26:13.117Z,1,19.97,0
2026-02-05T18:26:13.168Z,1,20.34,0
2026-02-05T18:26:13.218Z,1,20.52,0
2026-02-05T18:26:13.269Z,1,20.52,0
2026-02-05T18:26:13.320Z,1,20.10,0
2026-02-05T18:26:13.370Z,1,20.09,0
2026-02-05T18:26:13.421Z,1,20.09,0
2026-02-05T18:26:13.471Z,1,20.25,0
2026-02-05T18:26:13.522Z,1,20.31,0
